Generating synthetic data...
Initializing...
Starting gradient descent...
10 tensor(0.6931, dtype=torch.float64, grad_fn=<MeanBackward0>) 1.5442932874978716
20 tensor(0.6931, dtype=torch.float64, grad_fn=<MeanBackward0>) 1.544293287497852
30 tensor(0.6931, dtype=torch.float64, grad_fn=<MeanBackward0>) 1.5442932874837163
40 tensor(0.6931, dtype=torch.float64, grad_fn=<MeanBackward0>) 1.5442932779270433
50 tensor(0.6931, dtype=torch.float64, grad_fn=<MeanBackward0>) 1.5442869427189037
60 tensor(0.6823, dtype=torch.float64, grad_fn=<MeanBackward0>) 1.5405818690580524
70 tensor(0.5717, dtype=torch.float64, grad_fn=<MeanBackward0>) 1.4501558502903378
80 tensor(0.5154, dtype=torch.float64, grad_fn=<MeanBackward0>) 1.3234507713390293
90 tensor(0.5012, dtype=torch.float64, grad_fn=<MeanBackward0>) 1.2459931581664463
100 tensor(0.4966, dtype=torch.float64, grad_fn=<MeanBackward0>) 1.2012121202754467
110 tensor(0.4925, dtype=torch.float64, grad_fn=<MeanBackward0>) 1.1728129844806472
120 tensor(0.4525, dtype=torch.float64, grad_fn=<MeanBackward0>) 1.1247226182988805
130 tensor(0.4005, dtype=torch.float64, grad_fn=<MeanBackward0>) 1.0077482404432707
140 tensor(0.3717, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.8726125330044694
150 tensor(0.3580, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.754020192330825
160 tensor(0.3512, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.6586533264681687
170 tensor(0.3475, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.5838098117072852
180 tensor(0.3453, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.5256237746736775
190 tensor(0.3439, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.48062316687020956
200 tensor(0.3430, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.44589957388205526
210 tensor(0.3425, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.4190748422560627
220 tensor(0.3420, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.3982299132838021
230 tensor(0.3417, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.3818002710016146
240 tensor(0.3412, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.36840806313313773
250 tensor(0.3402, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.3565795969575843
260 tensor(0.3383, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.34440243748391
270 tensor(0.3351, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.329790910297889
280 tensor(0.3314, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.3121785228687287
290 tensor(0.3285, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.2931165586470237
300 tensor(0.3265, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.27433469694593976
310 tensor(0.3252, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.25681988499350583
320 tensor(0.3243, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.2409696510336653
330 tensor(0.3238, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.2268281653870164
340 tensor(0.3233, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.21426953104739477
350 tensor(0.3230, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.20310969742383775
360 tensor(0.3228, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.19316079271144138
370 tensor(0.3226, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.18425240057699893
380 tensor(0.3225, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.17623727120454882
390 tensor(0.3224, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.16899071163458781
400 tensor(0.3223, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.1624078551370215
410 tensor(0.3222, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.15640053584274646
420 tensor(0.3221, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.15089440724180575
430 tensor(0.3221, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.1458264927201789
440 tensor(0.3220, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.14114317879672042
450 tensor(0.3220, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.13679859838580422
460 tensor(0.3220, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.1327533354818295
470 tensor(0.3219, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.12897338577422496
480 tensor(0.3219, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.1254293174888308
490 tensor(0.3219, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.12209558779226588
500 tensor(0.3219, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.11894998014642723
510 tensor(0.3219, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.11597313631121327
520 tensor(0.3218, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.11314816320173587
530 tensor(0.3218, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.11046029973184417
540 tensor(0.3218, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.10789663242321026
550 tensor(0.3218, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.10544585122533029
560 tensor(0.3218, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.10309803892933748
570 tensor(0.3218, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.1008444889675815
580 tensor(0.3218, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.0986775474226758
590 tensor(0.3218, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.09659047583476138
600 tensor(0.3218, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.0945773319730919
610 tensor(0.3218, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.0926328661831924
620 tensor(0.3218, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.09075243127218516
630 tensor(0.3218, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.08893190417876827
640 tensor(0.3218, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.08716761790876038
650 tensor(0.3218, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.08545630241435244
660 tensor(0.3218, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.08379503326364285
670 tensor(0.3218, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.08218118709250315
680 tensor(0.3218, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.08061240295746737
690 tensor(0.3218, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.07908654881915494
700 tensor(0.3218, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.07760169248299817
710 tensor(0.3218, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.07615607640952306
720 tensor(0.3217, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.07474809588157948
730 tensor(0.3217, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.0733762800819329
740 tensor(0.3217, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.0720392756925781
750 tensor(0.3217, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.07073583267792455
760 tensor(0.3217, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.06946479195845345
770 tensor(0.3217, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.06822507472029025
780 tensor(0.3217, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.06701567314002656
790 tensor(0.3217, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.06583564233365298
800 tensor(0.3217, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.06468409336415129
810 tensor(0.3217, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.06356018716461413
820 tensor(0.3217, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.06246312925313373
830 tensor(0.3217, dtype=torch.float64, grad_fn=<MeanBackward0>) 0.061392165132492495
