(544, 46)
Generating synthetic data...
(400, 30)
Initializing...
1.95017486303858
Starting gradient descent...
10 tensor(0.6931, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 2.4054264549712827
20 tensor(0.6931, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 2.4054264549712827
30 tensor(0.6931, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 2.4054264549712827
40 tensor(0.6931, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 2.405426454971281
50 tensor(0.6931, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 2.4054264549712165
60 tensor(0.6931, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 2.4054264549693594
70 tensor(0.6931, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 2.4054264549154487
80 tensor(0.6931, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 2.4054264533489595
90 tensor(0.6931, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 2.4054264078093635
100 tensor(0.6931, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 2.405425083585085
110 tensor(0.6931, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 2.405386578083686
120 tensor(0.6921, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 2.4042723508256367
130 tensor(0.6670, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 2.3760943225155704
140 tensor(0.5514, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 2.196053906024079
150 tensor(0.5070, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 2.0320311160417384
160 tensor(0.4978, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 1.9515909076846234
170 tensor(0.4909, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 1.908245861337286
180 tensor(0.4443, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 1.8250898564211229
190 tensor(0.3519, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 1.601232048083951
200 tensor(0.3147, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 1.3756782481281453
210 tensor(0.3016, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 1.209245326663304
220 tensor(0.2961, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 1.091775154974729
230 tensor(0.2936, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 1.0095344320843291
240 tensor(0.2924, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.9519422756900148
250 tensor(0.2918, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.9114702371596162
260 tensor(0.2915, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.8828976638654015
270 tensor(0.2913, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.8626315598627864
280 tensor(0.2912, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.8481959215762652
290 tensor(0.2912, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.837873108061304
300 tensor(0.2912, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.8304533838895243
310 tensor(0.2911, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.8250375616334007
320 tensor(0.2909, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.8207855428104296
330 tensor(0.2899, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.8162729355322282
340 tensor(0.2863, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.8073659821672252
350 tensor(0.2748, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.7822112899282984
360 tensor(0.2537, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.724286739209644
370 tensor(0.2369, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.6395187316394808
380 tensor(0.2287, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.548547102626575
390 tensor(0.2249, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.4634968284075197
400 tensor(0.2228, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.3886706972308937
410 tensor(0.2217, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.3246399357509394
420 tensor(0.2209, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.2705819335062977
430 tensor(0.2205, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.22526359365313942
440 tensor(0.2202, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.18741736551460994
450 tensor(0.2200, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.15587871344225013
460 tensor(0.2199, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.12962828228298554
470 tensor(0.2198, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.1077952286918215
480 tensor(0.2197, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.08964534549266501
490 tensor(0.2197, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.07456425082165195
500 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.06204010139406989
510 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.051647652992021856
520 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.04303427985493871
530 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.035908015429256694
540 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.030027437625932678
550 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.025193124041042448
560 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.02124036688660219
570 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.018032833040209684
580 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.015456886731828953
590 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.013416395788176994
600 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.01182805626620398
610 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.010617565071373751
620 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.00971716109276092
630 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.009064868613545395
640 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.00860517218667504
650 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.00829025112480293
660 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.008080821596372427
670 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007946095343029749
680 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007862923694840531
690 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007814488317052276
700 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007788901468303929
710 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007777945497680508
720 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.0077760464045770914
730 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007779489446879507
740 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007785844110193593
750 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.00779355413876793
760 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007801650818254104
770 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007809555228569941
780 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007816943329048719
790 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007823654768793396
800 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007829631810921223
810 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007834878832796877
820 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007839435791113432
830 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.00784336110387228
840 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007846720838329583
850 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007849582087019044
860 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.00785200909653372
870 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007854061181064223
880 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007855791771582632
890 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007857248168504175
900 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007858471712732037
910 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007859498189314923
920 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007860358344684749
930 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007861078442996206
940 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007861680816593733
950 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007862184384946291
960 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007862605128848546
970 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.00786295651454884
980 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007863249867281487
990 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.00786349469648369
1000 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007863698976482151
1010 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007863869387112192
1020 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007864011518893462
1030 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007864130047242547
1040 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007864228879896264
1050 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007864311281321047
1060 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007864379977470578
1070 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007864437243834229
1080 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007864484979331603
1090 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007864524768253224
1100 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007864557932129989
1110 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007864585573130602
1120 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007864608610347693
1130 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007864627810121174
1140 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007864643811364012
1150 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007864657146709426
1160 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007864668260160532
1170 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007864677521817888
1180 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007864685240166758
1190 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.0078646916723244
1200 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007864697032587744
1210 tensor(0.2196, device='cuda:0', dtype=torch.float64, grad_fn=<MeanBackward0>) 0.007864701499559649
